pdb_nsite	uniprot_ac	uniprot_functions
1esm_4	P0A6I3	Kinase;Transferase
3h86_3	Q6LYG0	Kinase;Transferase
1i5c_1	Q56310	Kinase;Transferase
3nc9_1	P50053	Kinase;Transferase
3c9s_2	O67883	Kinase;Transferase
4typ_4	P16304	Kinase;Transferase
3ll9_2	O26153	Kinase;Transferase
2zsb_1	P9WPA7	Kinase;Transferase
3t9e_1	O43314	Kinase;Transferase
2f3r_2	P60546	Kinase;Transferase
4en4_2	O00764	Kinase;Transferase
2pkm_1	P9WID5	Kinase;Transferase
1nhk_1	P15266	Kinase;Transferase
1e2j_2	P03176	Kinase;Transferase
1n07_3	O74866	Kinase;Transferase
1ygk_1	P82197	Kinase;Transferase
3keu_1	O00764	Kinase;Transferase
1lwx_3	P22887	Kinase;Transferase
2geu_1	P9WPA7	Kinase;Transferase
3ehj_1	O34757	Kinase;Transferase
3hyo_1	F9UM74	Kinase;Transferase
2hve_2	P15531	Kinase;Transferase
1suw_3	O30297	Kinase;Transferase
2vp4_3	Q9XZT6	Kinase;Transferase
3ngu_2	Q9U1E1	Kinase;Transferase
4lv7_1	Q93YN9	Kinase;Transferase
2i7n_1	Q8TE04	Kinase;Transferase
3lm9_1	O05510	Kinase;Transferase
2zs9_1	P9WPA7	Kinase;Transferase
2vp0_1	Q9XZT6	Kinase;Transferase
1h72_1	Q58504	Kinase;Transferase
1ig0_1	P35202	Kinase;Transferase
4dxl_1	B1MKD5	Kinase;Transferase
3cr7_1	Q12657	Kinase;Transferase
3x03_1	P78356	Kinase;Transferase
3tm0_1	P0A3Y5	Kinase;Transferase
3qv6_2	Q27686	Kinase;Transferase
3w8r_1	Q5SKR5	Kinase;Transferase
2f02_2	Q833W9	Kinase;Transferase
2hfu_1	Q4Q6K7	Kinase;Transferase
3dl0_1	P16304	Kinase;Transferase
2vbv_2	Q60365	Kinase;Transferase
3af2_1	P9WPA7	Kinase;Transferase
3k4y_1	Q60352	Kinase;Transferase
2qaj_1	P16304	Kinase;Transferase
1rfu_11	P82197	Kinase;Transferase
1gqt_2	P0A9J6	Kinase;Transferase
3lki_1	Q87CC0	Kinase;Transferase
4ed4_1	B1MKD5	Kinase;Transferase
2j4k_5	Q97ZE2	Kinase;Transferase
4l5b_2	P27707	Kinase;Transferase
2jjx_1	Q81S73	Kinase;Transferase
3x0a_1	P78356	Kinase;Transferase
4s1i_2	C4LVZ4	Kinase;Transferase
3aky_1	P07170	Kinase;Transferase
4mkh_1	P16304	Kinase;Transferase
2vp2_1	Q9XZT6	Kinase;Transferase
1gc5_1	Q7M537	Kinase;Transferase
2qt0_1	Q9NWW6	Kinase;Transferase
2wzb_1	P00558	Kinase;Transferase
1v1a_1	Q53W83	Kinase;Transferase
1dvr_1	P07170	Kinase;Transferase
3t9a_1	O43314	Kinase;Transferase
4hr2_2	Q2SWE7	Kinase;Transferase
5c41_3	Q9H477	Kinase;Transferase
1grr_1	Q56148	Kinase;Transferase
2ww4_1	P62615	Kinase;Transferase
3w0n_1	P00557	Kinase;Transferase
2zgv_1	P00558	Kinase;Transferase
1w2g_2	P9WKE1	Kinase;Transferase
1zm7_4	Q9XZT6	Kinase;Transferase
2e2p_1	Q96Y14	Kinase;Transferase
4rf9_1	O15992	Kinase;Transferase
3dge_2	Q9WZV7	Kinase;Transferase
4aqk_1	Q93YN9	Kinase;Transferase
4mpn_1	Q15119	Kinase;Transferase
4wzy_1	A1TH50	Kinase;Transferase
4q5h_1	Q3YTH2	Kinase;Transferase
3hko_1	Q5CZ29	Kinase;Transferase
2zsd_1	P9WPA7	Kinase;Transferase
4gkh_9	B0VD92	Kinase;Transferase
3fhy_2	O00764	Kinase;Transferase
2an9_1	P60546	Kinase;Transferase
4d0l_1	Q9UBF8	Kinase;Transferase
1e2k_2	P03176	Kinase;Transferase
3wwm_1	O50147	Kinase;Transferase
1n5i_1	P9WKE1	Kinase;Transferase
2vqs_2	Q9XZT6	Kinase;Transferase
2yof_1	Q8I4S1	Kinase;Transferase
2rd5_1	Q9SCL7	Kinase;Transferase
2xan_2	Q93YN9	Kinase;Transferase
2xe7_1	P00558	Kinase;Transferase
4bqs_2	P9WPY2	Kinase;Transferase
4mxa_1	F0V9W9	Kinase;Transferase
2gev_1	P9WPA7	Kinase;Transferase
3att_1	P9WI99	Kinase;Transferase
3umo_1	P06999	Kinase;Transferase
4tyq_2	P16304	Kinase;Transferase
4o1g_1	P9WID5	Kinase;Transferase
3af3_1	P9WPA7	Kinase;Transferase
4xf6_2	Q5JDA3	Kinase;Transferase
1n07_2	O74866	Kinase;Transferase
1bxd_1	P0AEJ4	Kinase;Transferase
3nbw_1	P50053	Kinase;Transferase
4biz_1	P0AE82	Kinase;Transferase
2yog_2	Q8I4S1	Kinase;Transferase
4nzo_1	O43314	Kinase;Transferase
3uib_1	Q4QHJ8	Kinase;Transferase
3t54_1	O43314	Kinase;Transferase
2zdy_2	Q16654	Kinase;Transferase
2f17_2	Q9R0M5	Kinase;Transferase
4feu_2	B0VD92	Kinase;Transferase
4ieb_1	Q9BJF5	Kinase;Transferase
3crl_1	Q64536	Kinase;Transferase
3c9t_2	O67883	Kinase;Transferase
3fhx_3	O00764	Kinase;Transferase
1dz6_2	P00183	Monooxygenase;Oxidoreductase
1phe_1	P00183	Monooxygenase;Oxidoreductase
3t3q_3	P11509	Monooxygenase;Oxidoreductase
4ktk_1	I6YD01	Monooxygenase;Oxidoreductase
4a99_5	Q93L51	Monooxygenase;Oxidoreductase
4ict_1	P9WPP7	Monooxygenase;Oxidoreductase
2qbo_1	P00183	Monooxygenase;Oxidoreductase
2xve_1	Q83XK4	Monooxygenase;Oxidoreductase
4ek1_1	P00183	Monooxygenase;Oxidoreductase
1eup_1	Q00441	Monooxygenase;Oxidoreductase
3fwj_1	P00183	Monooxygenase;Oxidoreductase
4b68_2	E9QYP0	Monooxygenase;Oxidoreductase
4jlt_1	P00178	Monooxygenase;Oxidoreductase
1k0j_1	P20586	Monooxygenase;Oxidoreductase
3qm4_1	P10635	Monooxygenase;Oxidoreductase
2yls_1	Q47PU3	Monooxygenase;Oxidoreductase
3up5_1	H3JQW0	Monooxygenase;Oxidoreductase
2y46_3	Q59523	Monooxygenase;Oxidoreductase
2fdy_1	P11509	Monooxygenase;Oxidoreductase
2vq7_1	Q83XK4	Monooxygenase;Oxidoreductase
3hf6_1	P17752	Monooxygenase;Oxidoreductase
4f07_11	O33495	Monooxygenase;Oxidoreductase
4nzh_1	E9QYP0	Monooxygenase;Oxidoreductase
4tlz_3	A8CF85	Monooxygenase;Oxidoreductase
3p3z_1	Q70KH6	Monooxygenase;Oxidoreductase
4tm1_2	A8CF85	Monooxygenase;Oxidoreductase
1rf9_1	P00183	Monooxygenase;Oxidoreductase
5it1_2	Q70AS3	Monooxygenase;Oxidoreductase
4d04_2	Q47PU3	Monooxygenase;Oxidoreductase
2gjn_1	Q9I4V0	Monooxygenase;Oxidoreductase
4j31_1	P38169	Monooxygenase;Oxidoreductase
1phh_1	P00438	Monooxygenase;Oxidoreductase
4ap3_2	O50641	Monooxygenase;Oxidoreductase
2fdw_2	P11509	Monooxygenase;Oxidoreductase
4ap3_1	O50641	Monooxygenase;Oxidoreductase
4bjz_1	Q0SFK6	Monooxygenase;Oxidoreductase
1q5d_1	Q9KIZ4	Monooxygenase;Oxidoreductase
2ylt_2	Q47PU3	Monooxygenase;Oxidoreductase
4b67_1	E9QYP0	Monooxygenase;Oxidoreductase
2fdv_1	P11509	Monooxygenase;Oxidoreductase
3eqm_1	P11511	Monooxygenase;Oxidoreductase
2qbn_1	P00183	Monooxygenase;Oxidoreductase
4y8w_3	P08686	Monooxygenase;Oxidoreductase
1w4x_1	Q47PU3	Monooxygenase;Oxidoreductase
4d03_1	Q47PU3	Monooxygenase;Oxidoreductase
1re9_1	P00183	Monooxygenase;Oxidoreductase
2nni_1	P10632	Monooxygenase;Oxidoreductase
2v0m_8	P08684	Monooxygenase;Oxidoreductase
1iwj_1	P00183	Monooxygenase;Oxidoreductase
2zax_1	P00183	Monooxygenase;Oxidoreductase
3mdv_1	Q9Y6A2	Monooxygenase;Oxidoreductase
4aox_1	O50641	Monooxygenase;Oxidoreductase
4cy8_3	O06647	Monooxygenase;Oxidoreductase
4aos_2	O50641	Monooxygenase;Oxidoreductase
4bk3_1	Q0SFK6	Monooxygenase;Oxidoreductase
4a6n_5	Q93L51	Monooxygenase;Oxidoreductase
2ylr_1	Q47PU3	Monooxygenase;Oxidoreductase
2ylt_1	Q47PU3	Monooxygenase;Oxidoreductase
3p6n_1	P00183	Monooxygenase;Oxidoreductase
4ktl_1	I6YD01	Monooxygenase;Oxidoreductase
2cpp_1	P00183	Monooxygenase;Oxidoreductase
2zaw_1	P00183	Monooxygenase;Oxidoreductase
2feu_1	P00183	Monooxygenase;Oxidoreductase
4jx1_3	P00183	Monooxygenase;Oxidoreductase
4ktf_1	I6YD01	Monooxygenase;Oxidoreductase
5cp4_1	P00183	Monooxygenase;Oxidoreductase
4b66_1	E9QYP0	Monooxygenase;Oxidoreductase
4c9p_2	Q2GB12	Monooxygenase;Oxidoreductase
4j6d_1	Q5YNS8	Monooxygenase;Oxidoreductase
3ibd_1	P20813	Monooxygenase;Oxidoreductase
4cp4_1	P00183	Monooxygenase;Oxidoreductase
1jio_1	Q00441	Monooxygenase;Oxidoreductase
3gwf_1	C0STX7	Monooxygenase;Oxidoreductase
3iw1_1	P9WPP1	Monooxygenase;Oxidoreductase
3cpp_1	P00183	Monooxygenase;Oxidoreductase
4l4c_1	P00183	Monooxygenase;Oxidoreductase
2cib_1	P9WPP9	Monooxygenase;Oxidoreductase
1phg_1	P00183	Monooxygenase;Oxidoreductase
4lxj_1	P10614	Monooxygenase;Oxidoreductase
2jbs_3	Q6Q272	Monooxygenase;Oxidoreductase
4c9o_1	Q2GB12	Monooxygenase;Oxidoreductase
4ejh_3	Q16696	Monooxygenase;Oxidoreductase
4ips_1	P9WPP7	Monooxygenase;Oxidoreductase
2y98_1	Q59523	Monooxygenase;Oxidoreductase
3zkp_1	P48635	Monooxygenase;Oxidoreductase
3lxi_2	Q2GB12	Monooxygenase;Oxidoreductase
2xls_7	Q83XK4	Monooxygenase;Oxidoreductase
4l2f_1	Q9H2K2	Glycosyltransferase;Transferase
3gey_1	Q460N3	Glycosyltransferase;Transferase
4avu_1	Q9H2K2	Glycosyltransferase;Transferase
1d0v_1	Q05603	Glycosyltransferase;Transferase
3uax_1	Q5EEL8	Glycosyltransferase;Transferase
1fr8_2	P08037	Glycosyltransferase;Transferase
2hwu_1	P0A1F6	Glycosyltransferase;Transferase
1q4w_1	P28720	Glycosyltransferase;Transferase
1k9s_4	P0ABP8	Glycosyltransferase;Transferase
4pnr_1	Q9H2K2	Glycosyltransferase;Transferase
1g93_1	P14769	Glycosyltransferase;Transferase
2zu9_1	O58689	Glycosyltransferase;Transferase
1s2g_3	Q8RLY5	Glycosyltransferase;Transferase
4hmh_1	Q9H2K2	Glycosyltransferase;Transferase
4zfn_1	Q97W22	Glycosyltransferase;Transferase
2q7o_1	P00491	Glycosyltransferase;Transferase
4avw_2	Q9H2K2	Glycosyltransferase;Transferase
4q36_1	Q70AY4	Glycosyltransferase;Transferase
3gc5_1	P28720	Glycosyltransferase;Transferase
1je1_3	P50389	Glycosyltransferase;Transferase
1r5y_1	P28720	Glycosyltransferase;Transferase
1b8n_1	P55859	Glycosyltransferase;Transferase
2on6_1	P00491	Glycosyltransferase;Transferase
2acw_2	Q5IFH7	Glycosyltransferase;Transferase
3phc_1	Q8I3X4	Glycosyltransferase;Transferase
2wvl_1	Q72K30	Glycosyltransferase;Transferase
4hkk_2	Q9H2K2	Glycosyltransferase;Transferase
1v45_1	P00491	Glycosyltransferase;Transferase
3v2b_1	Q460N3	Glycosyltransferase;Transferase
2vce_1	Q9M156	Glycosyltransferase;Transferase
1pr6_3	P0ABP9	Glycosyltransferase;Transferase
2gek_1	A0QWG6	Glycosyltransferase;Transferase
4hki_2	Q9H2K2	Glycosyltransferase;Transferase
3zy6_1	Q18014	Glycosyltransferase;Transferase
2h1h_1	P24173	Glycosyltransferase;Transferase
3blo_1	P28720	Glycosyltransferase;Transferase
3c4v_1	Q8NTA6	Glycosyltransferase;Transferase
1l5l_1	Q05603	Glycosyltransferase;Transferase
1n2v_1	P28720	Glycosyltransferase;Transferase
4mt9_2	O95271	Glycosyltransferase;Transferase
1rzu_2	P0A3F3	Glycosyltransferase;Transferase
4hqv_1	P28720	Glycosyltransferase;Transferase
4l2k_2	Q9H2K2	Glycosyltransferase;Transferase
2yk6_1	P72097	Glycosyltransferase;Transferase
4bui_2	Q9H2K2	Glycosyltransferase;Transferase
1uqt_1	P31677	Glycosyltransferase;Transferase
2iyf_2	Q53685	Glycosyltransferase;Transferase
4da0_1	O34925	Glycosyltransferase;Transferase
4da7_1	O34925	Glycosyltransferase;Transferase
4d86_2	Q460N5	Glycosyltransferase;Transferase
3c49_1	Q9Y6F1	Glycosyltransferase;Transferase
1jha_1	Q05603	Glycosyltransferase;Transferase
3p0e_4	O95045	Glycosyltransferase;Transferase
1b8o_1	P55859	Glycosyltransferase;Transferase
3k8q_1	P00491	Glycosyltransferase;Transferase
4hlf_1	Q9H2K2	Glycosyltransferase;Transferase
2c1z_1	P51094	Glycosyltransferase;Transferase
1efz_1	P28720	Glycosyltransferase;Transferase
4tjy_3	Q9H2K2	Glycosyltransferase;Transferase
4tkg_2	Q9H2K2	Glycosyltransferase;Transferase
4l34_1	Q9H2K2	Glycosyltransferase;Transferase
3uay_1	Q5EEL8	Glycosyltransferase;Transferase
1yry_1	P00491	Glycosyltransferase;Transferase
1pn3_1	P96558	Glycosyltransferase;Transferase
4tta_1	P0ABP8	Glycosyltransferase;Transferase
3fow_2	Q8I3X4	Glycosyltransferase;Transferase
1rt9_1	P00491	Glycosyltransferase;Transferase
3gc4_1	P28720	Glycosyltransferase;Transferase
4pnm_4	Q9H2K2	Glycosyltransferase;Transferase
4hl5_1	Q9H2K2	Glycosyltransferase;Transferase
1foa_1	P27115	Glycosyltransferase;Transferase
1l4m_2	Q05603	Glycosyltransferase;Transferase
2z1w_1	P28720	Glycosyltransferase;Transferase
1u1g_6	P12758	Glycosyltransferase;Transferase
3qsa_2	P9WFX5	Glycosyltransferase;Transferase
4y9x_1	P9WMW9	Glycosyltransferase;Transferase
4rel_1	A4F1R4	Glycosyltransferase;Transferase
2r4t_1	P0A6U8	Glycosyltransferase;Transferase
1qk3_1	Q26997	Glycosyltransferase;Transferase
1pnv_1	P96558	Glycosyltransferase;Transferase
3of3_9	Q9KPM0	Glycosyltransferase;Transferase
2fyc_2	P08037	Glycosyltransferase;Transferase
3ckq_1	Q73WU1	Glycosyltransferase;Transferase
1gzf_2	P15879	Glycosyltransferase;Transferase
3ggs_1	P00491	Glycosyltransferase;Transferase
5c80_4	Q9K4U1	Glycosyltransferase;Transferase
1k9s_1	P0ABP8	Glycosyltransferase;Transferase
4abk_1	Q460N5	Glycosyltransferase;Transferase
2a8y_7	Q97W94	Glycosyltransferase;Transferase
1pk9_2	P0ABP9	Glycosyltransferase;Transferase
3c74_4	P0A1F6	Glycosyltransferase;Transferase
1s4p_2	P27809	Glycosyltransferase;Transferase
3r6c_1	P9WFX5	Glycosyltransferase;Transferase
1y5v_1	P28720	Glycosyltransferase;Transferase
3qs8_3	P9WFX5	Glycosyltransferase;Transferase
5aku_1	Q9H2K2	Glycosyltransferase;Transferase
1a9s_1	P55859	Glycosyltransferase;Transferase
4msk_2	O95271	Glycosyltransferase;Transferase
4ztv_1	A5U4M0	Glycosyltransferase;Transferase
3ozd_2	Q13126	Glycosyltransferase;Transferase
5ajq_1	O94804	Kinase;Serine/threonine-protein kinase;Transferase
4b0g_1	O14965	Kinase;Serine/threonine-protein kinase;Transferase
4tv3_1	P42336	Kinase;Serine/threonine-protein kinase;Transferase
2vgp_1	Q6DE08	Kinase;Serine/threonine-protein kinase;Transferase
3akl_3	Q9ZKJ5	Kinase;Serine/threonine-protein kinase;Transferase
3zsg_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4acm_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3she_1	Q16644	Kinase;Serine/threonine-protein kinase;Transferase
4bkz_1	Q14680	Kinase;Serine/threonine-protein kinase;Transferase
1oiu_2	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3qzf_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2ds1_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3hl7_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
3bqc_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
3p78_1	P47811	Kinase;Serine/threonine-protein kinase;Transferase
4dtk_1	P11309	Kinase;Serine/threonine-protein kinase;Transferase
2cdz_1	O96013	Kinase;Serine/threonine-protein kinase;Transferase
1dm2_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3a8w_1	P41743	Kinase;Serine/threonine-protein kinase;Transferase
2euf_1	Q00534	Kinase;Serine/threonine-protein kinase;Transferase
4fi1_1	P15790	Kinase;Serine/threonine-protein kinase;Transferase
2vnw_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
3nlb_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
2yer_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
2xk3_1	P51955	Kinase;Serine/threonine-protein kinase;Transferase
2xno_1	P51955	Kinase;Serine/threonine-protein kinase;Transferase
4ek8_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
4a9u_1	O96017	Kinase;Serine/threonine-protein kinase;Transferase
4j6i_1	P48736	Kinase;Serine/threonine-protein kinase;Transferase
2x8e_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
4utd_1	O14965	Kinase;Serine/threonine-protein kinase;Transferase
4zme_2	P42527	Kinase;Serine/threonine-protein kinase;Transferase
3r9n_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3p79_1	P47811	Kinase;Serine/threonine-protein kinase;Transferase
4xw6_1	P05132	Kinase;Serine/threonine-protein kinase;Transferase
2a5u_1	P48736	Kinase;Serine/threonine-protein kinase;Transferase
4nfn_1	Q5TCY1	Kinase;Serine/threonine-protein kinase;Transferase
3ds6_4	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
3cgo_1	P53779	Kinase;Serine/threonine-protein kinase;Transferase
2vo7_2	P00517	Kinase;Serine/threonine-protein kinase;Transferase
3wbl_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
4bdd_1	O96017	Kinase;Serine/threonine-protein kinase;Transferase
1q8w_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
2bhh_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
4eh6_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
3r0t_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
3r7e_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2xiy_1	P11309	Kinase;Serine/threonine-protein kinase;Transferase
3beg_1	Q96SB4	Kinase;Serine/threonine-protein kinase;Transferase
4bdg_1	O96017	Kinase;Serine/threonine-protein kinase;Transferase
3roy_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3k3j_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
3e8e_4	P00517	Kinase;Serine/threonine-protein kinase;Transferase
4bdi_1	O96017	Kinase;Serine/threonine-protein kinase;Transferase
2pvr_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
3u8w_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
1ouy_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
1kv1_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4im0_1	Q9UHD2	Kinase;Serine/threonine-protein kinase;Transferase
1e8x_1	O02697	Kinase;Serine/threonine-protein kinase;Transferase
4bl1_1	Q14680	Kinase;Serine/threonine-protein kinase;Transferase
4qmy_1	Q9Y6E0	Kinase;Serine/threonine-protein kinase;Transferase
3hv4_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
3gcq_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4i6h_1	Q9NYY3	Kinase;Serine/threonine-protein kinase;Transferase
4idv_4	Q99558	Kinase;Serine/threonine-protein kinase;Transferase
4ftk_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
3a60_2	P23443	Kinase;Serine/threonine-protein kinase;Transferase
4fjy_1	P48736	Kinase;Serine/threonine-protein kinase;Transferase
3v3v_1	P45983	Kinase;Serine/threonine-protein kinase;Transferase
4zth_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4kik_2	O14920	Kinase;Serine/threonine-protein kinase;Transferase
3gc7_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4i3z_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3rpv_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3qzi_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
1ke5_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2wmt_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
3wow_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
2bts_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2zdu_1	P53779	Kinase;Serine/threonine-protein kinase;Transferase
2wmv_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
2pvh_1	P28523	Kinase;Serine/threonine-protein kinase;Transferase
1oiq_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2buj_1	O75716	Kinase;Serine/threonine-protein kinase;Transferase
4eol_2	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2gni_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
2pvn_1	P28523	Kinase;Serine/threonine-protein kinase;Transferase
2qd9_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
2bmc_6	O14965	Kinase;Serine/threonine-protein kinase;Transferase
4xw4_1	P05132	Kinase;Serine/threonine-protein kinase;Transferase
3iw7_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4uak_1	Q9Y5S2	Kinase;Serine/threonine-protein kinase;Transferase
2xkf_1	P51955	Kinase;Serine/threonine-protein kinase;Transferase
3fln_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4fki_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
3owj_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
2vo6_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
1e90_1	O02697	Kinase;Serine/threonine-protein kinase;Transferase
4hni_2	P49674	Kinase;Serine/threonine-protein kinase;Transferase
4ksp_2	P15056	Kinase;Serine/threonine-protein kinase;Transferase
2vwi_3	O95747	Kinase;Serine/threonine-protein kinase;Transferase
4g16_1	Q9Y6M4	Kinase;Serine/threonine-protein kinase;Transferase
2uzt_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
1ydt_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
1vyw_2	P24941	Kinase;Serine/threonine-protein kinase;Transferase
2ghl_1	P47811	Kinase;Serine/threonine-protein kinase;Transferase
2chl_1	Q9Y6M4	Kinase;Serine/threonine-protein kinase;Transferase
4bie_1	Q99683	Kinase;Serine/threonine-protein kinase;Transferase
1nvq_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
4k18_1	P11309	Kinase;Serine/threonine-protein kinase;Transferase
3qtx_1	P24941	Kinase;Serine/threonine-protein kinase;Transferase
1m2p_1	P28523	Kinase;Serine/threonine-protein kinase;Transferase
1xh7_1	P00517	Kinase;Serine/threonine-protein kinase;Transferase
1f0q_1	P28523	Kinase;Serine/threonine-protein kinase;Transferase
3iph_1	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
2puu_1	P47811	Kinase;Serine/threonine-protein kinase;Transferase
5cu6_1	P68400	Kinase;Serine/threonine-protein kinase;Transferase
3hll_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
2yis_2	Q16539	Kinase;Serine/threonine-protein kinase;Transferase
4qmp_1	Q9Y6E0	Kinase;Serine/threonine-protein kinase;Transferase
1o6y_1	P9WI81	Kinase;Serine/threonine-protein kinase;Transferase
3apf_1	P48736	Kinase;Serine/threonine-protein kinase;Transferase
4fsw_1	O14757	Kinase;Serine/threonine-protein kinase;Transferase
